CheckLevel,Difference,Tolerance,Status,DistrictName,Variable,ReportedValue,RolledValue
School to LEA,0,0.05,Pass,Cape Henlopen School District,UnitsBasicK12,68.21,68.21
School to LEA,0,0.05,Pass,Cape Henlopen School District,UnitsComplex,167.69,167.69
School to LEA,-0.01,0.05,Pass,Cape Henlopen School District,UnitsIntense,31.5,31.49
School to LEA,-0.01,0.05,Pass,Cape Henlopen School District,UnitsK3,103.52,103.51
School to LEA,0,0.05,Pass,Cape Henlopen School District,UnitsPreK,8.93,8.93
School to LEA,-0.03,0.05,Pass,Cape Henlopen School District,UnitsTotal,582.75,582.72
School to LEA,0,0.05,Pass,Cape Henlopen School District,UnitsVocational,27.7,27.7
School to LEA,-0.01,0.05,Pass,Cape Henlopen School District,UnitsVocationalDeduct,-13.85,-13.86
School to LEA,0,0,Pass,Capital School District,BaseUnitEnrollmentTotal,6384,6384
School to LEA,0,0,Pass,Capital School District,Enrollment,6384,6384
School to LEA,0,0,Pass,Capital School District,Enrollment4_12,3252,3252
School to LEA,0,0,Pass,Capital School District,EnrollmentBasicK12,666,666
School to LEA,0,0,Pass,Capital School District,EnrollmentComplex,428,428
School to LEA,0,0,Pass,Capital School District,EnrollmentIntense,266,266
School to LEA,0,0,Pass,Capital School District,EnrollmentK3,1729,1729
School to LEA,0,0,Pass,Capital School District,EnrollmentPreK,43,43
School to LEA,0,0,Pass,Capital School District,Grade10Enrollment,394,394
School to LEA,0,0,Pass,Capital School District,K8Enrollment,4367,4367
School to LEA,0,0,Pass,Capital School District,LI,2595,2595
School to LEA,0,0,Pass,Capital School District,MLL,815,815
School to LEA,0,0,Pass,Capital School District,RegularEdEnrollment,4981,4981
School to LEA,0,0,Pass,Capital School District,SpecialEdEnrollment,1403,1403
School to LEA,0,0.05,Pass,Capital School District,Units4_12,162.6,162.6
School to LEA,-0.02,0.05,Pass,Capital School District,UnitsBasicK12,79.29,79.27
School to LEA,-0.02,0.05,Pass,Capital School District,UnitsComplex,164.62,164.6
School to LEA,0.01,0.05,Pass,Capital School District,UnitsIntense,44.33,44.34
School to LEA,-0.01,0.05,Pass,Capital School District,UnitsK3,106.73,106.72
School to LEA,0,0.05,Pass,Capital School District,UnitsPreK,5.12,5.12
School to LEA,-0.04,0.05,Pass,Capital School District,UnitsTotal,574.95,574.91
School to LEA,-0,0.05,Pass,Capital School District,UnitsVocational,24.53,24.53
School to LEA,0,0.05,Pass,Capital School District,UnitsVocationalDeduct,-12.27,-12.27
School to LEA,0,0,Pass,Charter School of New Castle,BaseUnitEnrollmentTotal,759,759
School to LEA,0,0,Pass,Charter School of New Castle,Enrollment,759,759
School to LEA,0,0,Pass,Charter School of New Castle,Enrollment4_12,408,408
School to LEA,0,0,Pass,Charter School of New Castle,EnrollmentBasicK12,48,48
School to LEA,0,0,Pass,Charter School of New Castle,EnrollmentComplex,12,12
School to LEA,0,0,Pass,Charter School of New Castle,EnrollmentIntense,20,20
School to LEA,0,0,Pass,Charter School of New Castle,EnrollmentK3,271,271
School to LEA,0,0,Pass,Charter School of New Castle,EnrollmentPreK,0,0
School to LEA,0,0,Pass,Charter School of New Castle,Grade10Enrollment,0,0
School to LEA,0,0,Pass,Charter School of New Castle,K8Enrollment,759,759
School to LEA,0,0,Pass,Charter School of New Castle,LI,360,360
School to LEA,0,0,Pass,Charter School of New Castle,MLL,21,21
School to LEA,0,0,Pass,Charter School of New Castle,RegularEdEnrollment,679,679
School to LEA,0,0,Pass,Charter School of New Castle,SpecialEdEnrollment,80,80
School to LEA,0,0.05,Pass,Charter School of New Castle,Units4_12,20.4,20.4
School to LEA,0,0.05,Pass,Charter School of New Castle,UnitsBasicK12,5.71,5.71
School to LEA,0,0.05,Pass,Charter School of New Castle,UnitsComplex,4.62,4.62
School to LEA,0,0.05,Pass,Charter School of New Castle,UnitsIntense,3.33,3.33
School to LEA,0,0.05,Pass,Charter School of New Castle,UnitsK3,16.73,16.73
School to LEA,0,0.05,Pass,Charter School of New Castle,UnitsPreK,0,0
School to LEA,0,0.05,Pass,Charter School of New Castle,UnitsTotal,50.79,50.79
School to LEA,0,0.05,Pass,Charter School of New Castle,UnitsVocational,0,0
School to LEA,0,0.05,Pass,Charter School of New Castle,UnitsVocationalDeduct,0,0
School to LEA,0,0,Pass,Charter School of Wilmington,BaseUnitEnrollmentTotal,980,980
School to LEA,0,0,Pass,Charter School of Wilmington,Enrollment,980,980
School to LEA,0,0,Pass,Charter School of Wilmington,Enrollment4_12,966,966
School to LEA,0,0,Pass,Charter School of Wilmington,EnrollmentBasicK12,11,11
School to LEA,0,0,Pass,Charter School of Wilmington,EnrollmentComplex,1,1
School to LEA,0,0,Pass,Charter School of Wilmington,EnrollmentIntense,2,2
School to LEA,0,0,Pass,Charter School of Wilmington,EnrollmentK3,0,0
School to LEA,0,0,Pass,Charter School of Wilmington,EnrollmentPreK,0,0
School to LEA,0,0,Pass,Charter School of Wilmington,Grade10Enrollment,249,249
School to LEA,0,0,Pass,Charter School of Wilmington,K8Enrollment,0,0
School to LEA,0,0,Pass,Charter School of Wilmington,LI,28,28
School to LEA,0,0,Pass,Charter School of Wilmington,MLL,4,4
School to LEA,0,0,Pass,Charter School of Wilmington,RegularEdEnrollment,966,966
School to LEA,0,0,Pass,Charter School of Wilmington,SpecialEdEnrollment,14,14
School to LEA,0,0.05,Pass,Charter School of Wilmington,Units4_12,48.3,48.3
School to LEA,0,0.05,Pass,Charter School of Wilmington,UnitsBasicK12,1.31,1.31
School to LEA,0,0.05,Pass,Charter School of Wilmington,UnitsComplex,0.38,0.38
School to LEA,0,0.05,Pass,Charter School of Wilmington,UnitsIntense,0.33,0.33
School to LEA,0,0.05,Pass,Charter School of Wilmington,UnitsK3,0,0
School to LEA,0,0.05,Pass,Charter School of Wilmington,UnitsPreK,0,0
School to LEA,0,0.05,Pass,Charter School of Wilmington,UnitsTotal,50.32,50.32
School to LEA,0,0.05,Pass,Charter School of Wilmington,UnitsVocational,0,0
School to LEA,0,0.05,Pass,Charter School of Wilmington,UnitsVocationalDeduct,0,0
School to LEA,0,0,Pass,Christina School District,BaseUnitEnrollmentTotal,12799,12799
School to LEA,0,0,Pass,Christina School District,Enrollment,12799,12799
School to LEA,0,0,Pass,Christina School District,Enrollment4_12,6025,6025
School to LEA,0,0,Pass,Christina School District,EnrollmentBasicK12,1072,1072
School to LEA,0,0,Pass,Christina School District,EnrollmentComplex,1278,1278
School to LEA,0,0,Pass,Christina School District,EnrollmentIntense,950,950
School to LEA,0,0,Pass,Christina School District,EnrollmentK3,3209,3209
School to LEA,0,0,Pass,Christina School District,EnrollmentPreK,265,265
School to LEA,0,0,Pass,Christina School District,Grade10Enrollment,836,836
School to LEA,0,0,Pass,Christina School District,K8Enrollment,8970,8970
School to LEA,0,0,Pass,Christina School District,LI,4434,4434
School to LEA,0,0,Pass,Christina School District,MLL,1899,1899
School to LEA,0,0,Pass,Christina School District,RegularEdEnrollment,9234,9234
School to LEA,0,0,Pass,Christina School District,SpecialEdEnrollment,3565,3565
