DistrictCode,DistrictName,ParentSchoolCode,ParentSchoolName,CalculatorLEAName,CalculatorRow,CalculationUnitSequence,SchoolCalculationUnitCount,CalculationUnitName,InputCategory,CalculatorValue,CalculatorBuildingTotal,CalculatorOrganizationTotal,SharedLEATotal,BuildingVsSharedDifference,OrganizationVsSharedDifference,AllocationShare,AllocationMethod,AllocationRule,ProportionalAdjustedValue,IntegerAdjustedValue,Remainder,RemainderRank,StudentsRemaining,StudentsAddedByLargestRemainder,FinalAdjustedValue
74,Campus Community School,573,Campus Community School,Campus_Community_School_Charter_School,48,1,2,Campus Community Primary,EnrollmentIntense,4,8,8,8,0,0,0.5,Calculator category share,Largest remainder; ties by CalculationUnitSequence,4,4,0,1,0,0,4
74,Campus Community School,573,Campus Community School,Campus_Community_School_Charter_School,48,1,2,Campus Community Primary,EnrollmentK3,153,153,153,153,0,0,1,Calculator category share,Largest remainder; ties by CalculationUnitSequence,153,153,0,1,0,0,153
74,Campus Community School,573,Campus Community School,Campus_Community_School_Charter_School,48,1,2,Campus Community Primary,UnitsVocational,0,0.31,0.31,0.31,0,0,0,Calculator category share,Full-precision proportional allocation,0,,,,,0,0
74,Campus Community School,573,Campus Community School,Campus_Community_School_Charter_School,48,1,2,Campus Community Primary,UnitsVocationalDeduct,0,-0.16,-0.16,-0.16,0,0,0,Calculator category share,Full-precision proportional allocation,-0,,,,,0,-0
74,Campus Community School,573,Campus Community School,Campus_Community_School_Charter_School,49,2,2,Campus Community Junior High,BasicPreK12Enrollment,19,39,39,39,0,0,0.48717948717948717,Calculator category share,Largest remainder; ties by CalculationUnitSequence,19,19,0,2,0,0,19
74,Campus Community School,573,Campus Community School,Campus_Community_School_Charter_School,49,2,2,Campus Community Junior High,Enrollment4_12,115,195,195,195,0,0,0.5897435897435898,Calculator category share,Largest remainder; ties by CalculationUnitSequence,115,115,0,2,0,0,115
74,Campus Community School,573,Campus Community School,Campus_Community_School_Charter_School,49,2,2,Campus Community Junior High,EnrollmentComplex,1,7,7,7,0,0,0.14285714285714285,Calculator category share,Largest remainder; ties by CalculationUnitSequence,1,1,0,2,0,0,1
74,Campus Community School,573,Campus Community School,Campus_Community_School_Charter_School,49,2,2,Campus Community Junior High,EnrollmentIntense,4,8,8,8,0,0,0.5,Calculator category share,Largest remainder; ties by CalculationUnitSequence,4,4,0,2,0,0,4
74,Campus Community School,573,Campus Community School,Campus_Community_School_Charter_School,49,2,2,Campus Community Junior High,EnrollmentK3,0,153,153,153,0,0,0,Calculator category share,Largest remainder; ties by CalculationUnitSequence,0,0,0,2,0,0,0
74,Campus Community School,573,Campus Community School,Campus_Community_School_Charter_School,49,2,2,Campus Community Junior High,UnitsVocational,0.31,0.31,0.31,0.31,0,0,1,Calculator category share,Full-precision proportional allocation,0.31,,,,,0,0.31
74,Campus Community School,573,Campus Community School,Campus_Community_School_Charter_School,49,2,2,Campus Community Junior High,UnitsVocationalDeduct,-0.16,-0.16,-0.16,-0.16,0,0,1,Calculator category share,Full-precision proportional allocation,-0.16,,,,,0,-0.16
80,Charter School of New Castle,579,Charter School of New Castle,Charter_School_of_New_Castle,77,1,2,New Castle Primary,BasicPreK12Enrollment,21,48,48,48,0,0,0.4375,Calculator category share,Largest remainder; ties by CalculationUnitSequence,21,21,0,1,0,0,21
80,Charter School of New Castle,579,Charter School of New Castle,Charter_School_of_New_Castle,77,1,2,New Castle Primary,Enrollment4_12,162,408,408,408,0,0,0.39705882352941174,Calculator category share,Largest remainder; ties by CalculationUnitSequence,162,162,0,1,0,0,162
80,Charter School of New Castle,579,Charter School of New Castle,Charter_School_of_New_Castle,77,1,2,New Castle Primary,EnrollmentComplex,8,12,12,12,0,0,0.6666666666666666,Calculator category share,Largest remainder; ties by CalculationUnitSequence,8,8,0,1,0,0,8
80,Charter School of New Castle,579,Charter School of New Castle,Charter_School_of_New_Castle,77,1,2,New Castle Primary,EnrollmentIntense,9,20,20,20,0,0,0.45,Calculator category share,Largest remainder; ties by CalculationUnitSequence,9,9,0,1,0,0,9
80,Charter School of New Castle,579,Charter School of New Castle,Charter_School_of_New_Castle,77,1,2,New Castle Primary,EnrollmentK3,271,271,271,271,0,0,1,Calculator category share,Largest remainder; ties by CalculationUnitSequence,271,271,0,1,0,0,271
80,Charter School of New Castle,579,Charter School of New Castle,Charter_School_of_New_Castle,77,1,2,New Castle Primary,UnitsVocational,0,0,0,0,0,0,0,Shared total is zero,Full-precision proportional allocation,0,,,,,0,0
80,Charter School of New Castle,579,Charter School of New Castle,Charter_School_of_New_Castle,77,1,2,New Castle Primary,UnitsVocationalDeduct,0,0,0,0,0,0,0,Shared total is zero,Full-precision proportional allocation,0,,,,,0,0
80,Charter School of New Castle,579,Charter School of New Castle,Charter_School_of_New_Castle,78,2,2,New Castle Junior,BasicPreK12Enrollment,27,48,48,48,0,0,0.5625,Calculator category share,Largest remainder; ties by CalculationUnitSequence,27,27,0,2,0,0,27
80,Charter School of New Castle,579,Charter School of New Castle,Charter_School_of_New_Castle,78,2,2,New Castle Junior,Enrollment4_12,246,408,408,408,0,0,0.6029411764705882,Calculator category share,Largest remainder; ties by CalculationUnitSequence,246,246,0,2,0,0,246
80,Charter School of New Castle,579,Charter School of New Castle,Charter_School_of_New_Castle,78,2,2,New Castle Junior,EnrollmentComplex,4,12,12,12,0,0,0.3333333333333333,Calculator category share,Largest remainder; ties by CalculationUnitSequence,4,4,0,2,0,0,4
80,Charter School of New Castle,579,Charter School of New Castle,Charter_School_of_New_Castle,78,2,2,New Castle Junior,EnrollmentIntense,11,20,20,20,0,0,0.55,Calculator category share,Largest remainder; ties by CalculationUnitSequence,11,11,0,2,0,0,11
80,Charter School of New Castle,579,Charter School of New Castle,Charter_School_of_New_Castle,78,2,2,New Castle Junior,EnrollmentK3,0,271,271,271,0,0,0,Calculator category share,Largest remainder; ties by CalculationUnitSequence,0,0,0,2,0,0,0
80,Charter School of New Castle,579,Charter School of New Castle,Charter_School_of_New_Castle,78,2,2,New Castle Junior,UnitsVocational,0,0,0,0,0,0,0,Shared total is zero,Full-precision proportional allocation,0,,,,,0,0
80,Charter School of New Castle,579,Charter School of New Castle,Charter_School_of_New_Castle,78,2,2,New Castle Junior,UnitsVocationalDeduct,0,0,0,0,0,0,0,Shared total is zero,Full-precision proportional allocation,0,,,,,0,0
70,Charter School of Wilmington,295,Charter School of Wilmington,Charter_School_of_Wilmington,80,1,1,Charter_School_of_Wilmington,BasicPreK12Enrollment,11,11,11,11,0,0,1,Calculator category share,Largest remainder; ties by CalculationUnitSequence,11,11,0,1,0,0,11
70,Charter School of Wilmington,295,Charter School of Wilmington,Charter_School_of_Wilmington,80,1,1,Charter_School_of_Wilmington,Enrollment4_12,966,966,966,966,0,0,1,Calculator category share,Largest remainder; ties by CalculationUnitSequence,966,966,0,1,0,0,966
70,Charter School of Wilmington,295,Charter School of Wilmington,Charter_School_of_Wilmington,80,1,1,Charter_School_of_Wilmington,EnrollmentComplex,1,1,1,1,0,0,1,Calculator category share,Largest remainder; ties by CalculationUnitSequence,1,1,0,1,0,0,1
70,Charter School of Wilmington,295,Charter School of Wilmington,Charter_School_of_Wilmington,80,1,1,Charter_School_of_Wilmington,EnrollmentIntense,2,2,2,2,0,0,1,Calculator category share,Largest remainder; ties by CalculationUnitSequence,2,2,0,1,0,0,2
70,Charter School of Wilmington,295,Charter School of Wilmington,Charter_School_of_Wilmington,80,1,1,Charter_School_of_Wilmington,EnrollmentK3,0,0,0,0,0,0,0,Shared total is zero,Largest remainder; ties by CalculationUnitSequence,0,0,0,1,0,0,0
70,Charter School of Wilmington,295,Charter School of Wilmington,Charter_School_of_Wilmington,80,1,1,Charter_School_of_Wilmington,UnitsVocational,0,0,0,0,0,0,0,Shared total is zero,Full-precision proportional allocation,0,,,,,0,0
70,Charter School of Wilmington,295,Charter School of Wilmington,Charter_School_of_Wilmington,80,1,1,Charter_School_of_Wilmington,UnitsVocationalDeduct,0,0,0,0,0,0,0,Shared total is zero,Full-precision proportional allocation,0,,,,,0,0
79,Delaware Military Academy,578,Delaware Military Academy,Delaware_Military_Academy_Charter_School,140,1,1,Delaware_Military_Academy_Charter_School,BasicPreK12Enrollment,54,54,54,54,0,0,1,Calculator category share,Largest remainder; ties by CalculationUnitSequence,54,54,0,1,0,0,54
79,Delaware Military Academy,578,Delaware Military Academy,Delaware_Military_Academy_Charter_School,140,1,1,Delaware_Military_Academy_Charter_School,Enrollment4_12,501,501,501,501,0,0,1,Calculator category share,Largest remainder; ties by CalculationUnitSequence,501,501,0,1,0,0,501
79,Delaware Military Academy,578,Delaware Military Academy,Delaware_Military_Academy_Charter_School,140,1,1,Delaware_Military_Academy_Charter_School,EnrollmentComplex,0,0,0,0,0,0,0,Shared total is zero,Largest remainder; ties by CalculationUnitSequence,0,0,0,1,0,0,0
79,Delaware Military Academy,578,Delaware Military Academy,Delaware_Military_Academy_Charter_School,140,1,1,Delaware_Military_Academy_Charter_School,EnrollmentIntense,0,0,0,0,0,0,0,Shared total is zero,Largest remainder; ties by CalculationUnitSequence,0,0,0,1,0,0,0
